iter	Passed	Remaining
0	0	73
1	1	64
2	1	60
3	2	56
4	2	55
5	3	54
6	3	52
7	4	51
8	5	51
9	5	50
10	6	50
11	6	49
12	7	48
13	7	48
14	8	48
15	9	48
16	9	48
17	10	47
18	11	47
19	11	46
20	12	46
21	12	45
22	13	45
23	14	44
24	14	44
25	15	43
26	15	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	40
32	19	39
33	20	38
34	20	38
35	21	37
36	21	37
37	22	36
38	22	35
39	23	35
40	24	34
41	24	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	30
47	28	30
48	28	29
49	29	29
50	29	28
51	30	28
52	30	27
53	31	26
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	39	19
67	39	18
68	40	18
69	41	17
70	41	17
71	42	16
72	43	16
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	59	0
